CATEGORIA,PROMPT
Advertisement Poster,"Design impactful advertisement posters for a [specific product or service e.g., ‘sneakers’], emphasizing its [unique selling point or feature e.g., ‘lightweight and durable design’]."
Infographic,"Create informative infographics on the topic of [specific topic e.g., ‘solar energy’], showcasing [specific data points or elements e.g., ‘benefits, installation process, and cost savings’]"
Movie Poster,"Craft captivating movie posters for a [specific genre e.g., ‘sci-fi’] film named [specific title e.g., ‘Galactic Warriors’], hinting at [specific key event or theme e.g., ‘an interstellar battle’]. (Tall)"
Album Cover,"Design visually striking album covers for a [specific genre e.g., ‘rock’] album titled [specific title e.g., ‘Echoes of Tomorrow’], capturing the mood of [specific theme or emotion e.g., ‘rebellion and freedom’]."
Magazine Cover,"Design visually striking magazine covers for [specific genre or topic e.g., ‘fashion’ or ‘technology’], featuring [specific main subject e.g., ‘a model wearing a summer collection’ or ‘a futuristic gadget’], complemented by headlines hinting at [specific main articles or features e.g., ‘the top trends of the season’ or ‘innovations shaping the future’]. (Tall)"
Logo Design,"Design distinctive vector logos for a [specific type of business e.g., ‘coffee shop’] with the name [specific name e.g., ‘Cafe Aroma’], incorporating elements that evoke [specific theme or feeling e.g., ‘warmth and comfort’]."
Book Cover,"Design evocative book covers for a [specific genre e.g., ‘mystery’] novel titled ‘[specific title e.g., ‘Shadows in the Alley’]’, capturing the essence of [specific setting or theme e.g., ‘a foggy London street at midnight’]. (Tall)"
Event Poster,"Design visually striking event posters for [specific type of event e.g., ‘music concert’] titled [specific title e.g., ‘Melodies of Spring’], highlighting [specific features or attractions e.g., ‘live bands, food stalls, and fireworks’]. (Tall)"
D Model,"Generate detailed 3D models of a [specific object or character e.g., ‘futuristic car’] with [specific features or characteristics e.g., ‘sleek lines and neon lights’]."
Architectural Design,"Design [specific style e.g., ‘modern’] architectural structures meant for [specific purpose e.g., ‘a library’] in a [specific environment e.g., ‘urban’] setting, integrating features that convey [specific theme or feeling e.g., ‘openness and innovation’]."
Comic Strip,"Illustrate dynamic comic strips with [specific characters e.g., ‘a detective with a brown hat and a mysterious stranger’], depicting a scene or event where [specific interaction or scenario e.g., ‘they engage in a thrilling chase across rooftops’]."
s Book Illustration,"Illustrate vibrant scenes for a children’s book set in [specific setting e.g., ‘a magical forest’], featuring [specific characters e.g., ‘a friendly dragon and a curious young girl’], engaging in [specific activity or interaction e.g., ‘sharing stories under a giant mushroom’]."
Greeting Card Design,"Design heartfelt greeting cards for [specific occasion e.g., ‘a birthday’] with a [specific theme or style e.g., ‘floral’] design, incorporating a message that conveys [specific sentiment or emotion e.g., ‘love and appreciation’]. (Tall)"
Tattoo Design,"Design unique drawing tattoos symbolizing [specific meaning or theme e.g., ‘strength and resilience’] for [specific body part e.g., ‘forearm’], incorporating elements like [specific symbols or imagery e.g., ‘a lion and a rose’]."
Product Packaging,"Design visually appealing product packaging for a [specific product e.g., ‘organic tea’] named [specific name e.g., ‘Green Harmony’], incorporating elements that represent [specific qualities or themes e.g., ‘freshness and purity’]."
Culinary Presentation Design,"Design visually stunning culinary presentations for a [specific type of dish e.g., ‘dessert’] named [specific name e.g., ‘Berry Bliss’], incorporating elements that highlight [specific ingredients or theme e.g., ‘fresh strawberries and a hint of mint’]."
Product Mockup,"Create realistic product mockups for a [specific type of product e.g., ‘smartphone’] named [specific product name e.g., ‘NexaPhone’], showcasing its [specific features or design elements e.g., ‘sleek design and dual camera setup’], set against a [specific background or setting e.g., ‘minimalistic white backdrop’]."
shirt Design,"Design creative vector graphics for a T-shirt showcasing [specific theme or subject e.g., ‘nature and wildlife’], incorporating elements that resonate with [specific mood or feeling e.g., ‘adventure and exploration’], and featuring [specific elements or objects e.g., ‘a soaring eagle and mountains’]. The design should be suitable for [specific color or style of T-shirt e.g., ‘a black round-neck T-shirt’]."
Mug Print Design,"Design unique mug prints for [specific occasion or theme e.g., ‘Christmas’] featuring [specific elements or characters e.g., ‘reindeer and snowflakes’] with a touch of [specific color or style e.g., ‘gold accents’]. (Tall)"
Sticker Design,"Vector stickers of [specific subject or character e.g., ‘a playful cat’], adorned with [specific elements or theme e.g., ‘stars and moons’], and conveying the emotion of [specific feeling or mood e.g., ‘joy and mischief’]."
