CATEGORIA,PROMPT,TAREFA
Advertisement Poster,"Design impactful advertisement posters for a [specific product or service e.g., ‘sneakers’], emphasizing its [unique selling point or feature e.g., ‘lightweight and durable design’].","Crie cartazes publicitários impactantes para um [produto ou serviço específico, por exemplo, 'tênis'], enfatizando seu [ponto de venda ou recurso exclusivo, por exemplo, 'design leve e durável']."
Infographic,"Create informative infographics on the topic of [specific topic e.g., ‘solar energy’], showcasing [specific data points or elements e.g., ‘benefits, installation process, and cost savings’]","Crie infográficos informativos sobre o tema [tópico específico, por exemplo, 'energia solar'], apresentando [pontos de dados ou elementos específicos, por exemplo, 'benefícios, processo de instalação e economia de custos']"
Movie Poster,"Craft captivating movie posters for a [specific genre e.g., ‘sci-fi’] film named [specific title e.g., ‘Galactic Warriors’], hinting at [specific key event or theme e.g., ‘an interstellar battle’]. (Tall)","Crie pôsteres de filmes cativantes para um filme de [gênero específico, por exemplo, 'ficção científica'] chamado [título específico, por exemplo, 'Guerreiros Galácticos'], sugerindo [evento ou tema principal específico, por exemplo, 'uma batalha interestelar']. (Alto)"
Album Cover,"Design visually striking album covers for a [specific genre e.g., ‘rock’] album titled [specific title e.g., ‘Echoes of Tomorrow’], capturing the mood of [specific theme or emotion e.g., ‘rebellion and freedom’].","Crie capas de álbuns visualmente impressionantes para um álbum de [gênero específico, por exemplo, 'rock'] intitulado [título específico, por exemplo, 'Echoes of Tomorrow'], capturando o clima de [tema ou emoção específica, por exemplo, 'rebelião e liberdade']."
Magazine Cover,"Design visually striking magazine covers for [specific genre or topic e.g., ‘fashion’ or ‘technology’], featuring [specific main subject e.g., ‘a model wearing a summer collection’ or ‘a futuristic gadget’], complemented by headlines hinting at [specific main articles or features e.g., ‘the top trends of the season’ or ‘innovations shaping the future’]. (Tall)","Crie capas de revistas visualmente atraentes para [gênero ou tópico específico, por exemplo, 'moda' ou 'tecnologia'], apresentando [assunto principal específico, por exemplo, 'uma modelo vestindo uma coleção de verão' ou 'um gadget futurista'], complementadas por manchetes que sugerem [artigos principais ou recursos específicos, por exemplo, 'as principais tendências da estação' ou 'inovações que moldam o futuro']. (Alto)"
Logo Design,"Design distinctive vector logos for a [specific type of business e.g., ‘coffee shop’] with the name [specific name e.g., ‘Cafe Aroma’], incorporating elements that evoke [specific theme or feeling e.g., ‘warmth and comfort’].","Projete logotipos vetoriais distintos para um [tipo específico de negócio, por exemplo, 'cafeteria'] com o nome [nome específico, por exemplo, 'Aroma de Café'], incorporando elementos que evoquem [tema ou sentimento específico, por exemplo, 'calor e conforto']."
Book Cover,"Design evocative book covers for a [specific genre e.g., ‘mystery’] novel titled ‘[specific title e.g., ‘Shadows in the Alley’]’, capturing the essence of [specific setting or theme e.g., ‘a foggy London street at midnight’]. (Tall)","Crie capas de livros evocativas para um romance de [gênero específico, por exemplo, 'mistério'] intitulado '[título específico, por exemplo, 'Sombras no Beco']', capturando a essência de [cenário ou tema específico, por exemplo, 'uma rua nevoenta de Londres à meia-noite ']. (Alto)"
Event Poster,"Design visually striking event posters for [specific type of event e.g., ‘music concert’] titled [specific title e.g., ‘Melodies of Spring’], highlighting [specific features or attractions e.g., ‘live bands, food stalls, and fireworks’]. (Tall)","Crie pôsteres de eventos visualmente impressionantes para [tipo específico de evento, por exemplo, 'concerto de música'] intitulado [título específico, por exemplo, 'Melodias da Primavera'], destacando [recursos ou atrações específicas, por exemplo, 'bandas ao vivo, barracas de comida e fogos de artifício'] . (Alto)"
D Model,"Generate detailed 3D models of a [specific object or character e.g., ‘futuristic car’] with [specific features or characteristics e.g., ‘sleek lines and neon lights’].","Gere modelos 3D detalhados de um [objeto ou personagem específico, por exemplo, 'carro futurista'] com [recursos ou características específicas, por exemplo, 'linhas elegantes e luzes de néon']."
Architectural Design,"Design [specific style e.g., ‘modern’] architectural structures meant for [specific purpose e.g., ‘a library’] in a [specific environment e.g., ‘urban’] setting, integrating features that convey [specific theme or feeling e.g., ‘openness and innovation’].","Projetar estruturas arquitetônicas [estilo específico, por exemplo, 'moderno'] destinadas a [propósito específico, por exemplo, 'uma biblioteca'] em um ambiente [ambiente específico, por exemplo, 'urbano'], integrando recursos que transmitam [tema ou sentimento específico, por exemplo, 'abertura e inovação']."
Comic Strip,"Illustrate dynamic comic strips with [specific characters e.g., ‘a detective with a brown hat and a mysterious stranger’], depicting a scene or event where [specific interaction or scenario e.g., ‘they engage in a thrilling chase across rooftops’].","Ilustre histórias em quadrinhos dinâmicas com [personagens específicos, por exemplo, ‘um detetive com chapéu marrom e um estranho misterioso’], retratando uma cena ou evento onde [interação ou cenário específico, por exemplo, ‘eles se envolvem em uma emocionante perseguição pelos telhados’]."
s Book Illustration,"Illustrate vibrant scenes for a children’s book set in [specific setting e.g., ‘a magical forest’], featuring [specific characters e.g., ‘a friendly dragon and a curious young girl’], engaging in [specific activity or interaction e.g., ‘sharing stories under a giant mushroom’].","Ilustre cenas vibrantes para um livro infantil ambientado em [ambiente específico, por exemplo, 'uma floresta mágica'], apresentando [personagens específicos, por exemplo, 'um dragão amigável e uma jovem curiosa'], engajando-se em [atividade ou interação específica, por exemplo, 'compartilhando histórias sob um cogumelo gigante']."
Greeting Card Design,"Design heartfelt greeting cards for [specific occasion e.g., ‘a birthday’] with a [specific theme or style e.g., ‘floral’] design, incorporating a message that conveys [specific sentiment or emotion e.g., ‘love and appreciation’]. (Tall)","Crie cartões comemorativos sinceros para [ocasião específica, por exemplo, 'um aniversário'] com um design [tema ou estilo específico, por exemplo, 'floral'], incorporando uma mensagem que transmita [sentimento ou emoção específica, por exemplo, 'amor e apreço']. (Alto)"
Tattoo Design,"Design unique drawing tattoos symbolizing [specific meaning or theme e.g., ‘strength and resilience’] for [specific body part e.g., ‘forearm’], incorporating elements like [specific symbols or imagery e.g., ‘a lion and a rose’].","Projete tatuagens exclusivas simbolizando [significado ou tema específico, por exemplo, 'força e resiliência'] para [parte específica do corpo, por exemplo, 'antebraço'], incorporando elementos como [símbolos ou imagens específicas, por exemplo, 'um leão e uma rosa']."
Product Packaging,"Design visually appealing product packaging for a [specific product e.g., ‘organic tea’] named [specific name e.g., ‘Green Harmony’], incorporating elements that represent [specific qualities or themes e.g., ‘freshness and purity’].","Projete embalagens de produto visualmente atraentes para um [produto específico, por exemplo, 'chá orgânico'] chamado [nome específico, por exemplo, 'Harmonia Verde'], incorporando elementos que representem [qualidades ou temas específicos, por exemplo, 'frescor e pureza']."
Culinary Presentation Design,"Design visually stunning culinary presentations for a [specific type of dish e.g., ‘dessert’] named [specific name e.g., ‘Berry Bliss’], incorporating elements that highlight [specific ingredients or theme e.g., ‘fresh strawberries and a hint of mint’].","Projete apresentações culinárias visualmente impressionantes para um [tipo específico de prato, por exemplo, 'sobremesa'] chamado [nome específico, por exemplo, 'Berry Bliss'], incorporando elementos que destacam [ingredientes ou tema específico, por exemplo, 'morangos frescos e um toque de hortelã' ]."
